channelId,channelTitle,channelDescription,channelTotalView,channelVideoCount,channelSubscribers,keywords,channelThumbnail,channelTopics
UC__tlrPrBbQmRoMfklI3qXQ,손그림 그리기,당신의 눈과 귀를 즐겁게 해줄 채널. 누구나 귀여운 그림을 쉽게 그릴수 있는 그날까지! ^-^)/ Thank you for watching. 비지니스 문의 ...,21917156,2438,141000,asmr 손그림 손글씨 캐릭터 수채화 그림그리기 songrim2 songrim son_grim2,https://yt3.ggpht.com/ytc/AIdro_kvnkBRZ1yaOngV_WVX_WnfzBPRiEIei55hZD-MYSAqZQ=s88-c-k-c0xffffffff-no-rj-mo,취미 라이프스타일 (상위 주제)
UC_-jP0vJCb_8dQoVgMYNfxw,고양이탐정TV,"2012년부터 12년째 고양이들을 돌보고 있습니다. 지금은 37마리 고양이들의 보금자리 쉼터를 운영하고, 잃어버린 고양이를 찾는 ...",47588648,399,149000,고양이 고양이탐정 고양이구조 집나간고양이 잃어버린고양이 길냥이 옥탐정 cat animal 고양이찾는법 고양이가출 길고양이,https://yt3.ggpht.com/neH_uihmmjUkPs1i0r_DVSKvWa3Yy8UKhx0G1ooRf5w3uAIUyDyQWyQPb4EetReH9I6JQDd8vA=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 반려동물
UC_7NmzieJWxg0YQy-RISm5w,Jeff Han-귀염뽀짝강아지,한결이랑 제프랑 함께 가는 길   문의:카톡 ID doitself.,43480875,785,58100,,https://yt3.ggpht.com/tkWcqwilpqOO3tqJ3YIsNK7YpoJSUyWjOYFFOttP0_R2YlXl3dgTF5QjHz2-TQpaEgZ17HYTMYg=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 반려동물
UC_98xj1xMBROOF4L6LgpBnA,리첸쿡 Lichen Cook,밥 씹어먹자 상사 생각하면서 이메일 LCK@cyp.kr.,179591651,267,341000,,https://yt3.ggpht.com/hHLcsge0dqRxFblZdnaAggVDcQTN8udl8L89yAIED5Tf5s3eA4bnuZ6xFFe63vezfx_E2xuhIw=s88-c-k-c0xffffffff-no-rj-mo,음식 라이프스타일 (상위 주제)
UC_BVJYxQxN5jberGxAFDlyg,은수저,정통요리 채널입니다. 개그 채널 아니고요.,350174280,632,494000,,https://yt3.ggpht.com/R9ZYv-KCfOw23Ef5YRB2bE224vmU-dE25VJ1bmjR5-5ggD7Qzxw0__xlNNeTrGxIfRA_GUHlRg=s88-c-k-c0xffffffff-no-rj-mo,음식 라이프스타일 (상위 주제)
UC_cEE92buMQxEBUrQ6YjeuQ,하쁠리의 수다 ASMR,수다만으로도 팅글팅글 ♥       #RAPPELER'sChatteringASMR.,56837290,378,146000,일상,https://yt3.ggpht.com/CNH7bM2ZsHwbksU319u6P6oggR-VW8YxL6XzRIoURsQ_8_xdc2bgol22UnCgRre9C-T2tC17hg=s88-c-k-c0xffffffff-no-rj-mo,음식 라이프스타일 (상위 주제)
UC_Cprc-ruVm1GS0yPvqy14w,김유진 미국변호사YOOJIN,Study with me 계정 You got this https://youtube.com/@yoojinstudy?si=hMQFuFaXSZk0wdLW.,19526352,257,198000,변호사 lawyer 영어회화 취업 자기계발 자기개발 아침형인간 새벽형인간 미국변호사 동기부여 스케줄관리 직장인 김유진,https://yt3.ggpht.com/ytc/AIdro_lyYtT1I9288kH7w-eJTKQF6ceFCRfR2A3NGgqICTLT1yk=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제)
UC_DNeSFNDkUC81sqj0-rZxQ,팝플리ㆍ팝 플레이리스트,당신의 일상을 위한 팝 플레이리스트와 최고 인기 팝송의 가사 번역까지 빠르게 전달해드리는 채널 '팝플리ㆍ팝 플레이리스트' 입니다!,34665063,1513,54300,,https://yt3.ggpht.com/yO77mTsOSyNVFHHFVLiIC9TtHloAyNxSyEouTK7NOi13QCIlR7zwqZj0LDm_58Wna01ns1u7DOo=s88-c-k-c0xffffffff-no-rj-mo,팝 음악 음악 (상위 주제)
UC_e83kYlGHWbsrr8QCfV_ag,SOOP 게임&e스포츠,SOOP 게임&e스포츠 채널입니다. 공식 방송국 바로가기: https://ch.sooplive.co.kr/afesports/vods 비즈니스 문의: ...,96726135,5665,70700,아프리카TV ASL GSL 이스포츠 afreecaTV 멸망전 e스포츠 BJ 게임,https://yt3.ggpht.com/eJumULF7WQeRWE6uJlLViQpmO-fnYLCNIFF0zEehN65C_cdf2v97fBiw-DyzZG3BRijXv-U5LA=s88-c-k-c0xffffffff-no-rj-mo,롤플레잉 비디오 게임 액션 게임 전략 비디오 게임 게임 (상위 주제)
UC_EngQdug6VcxZ3xcqgnWug,김준표,치지직 : 마술사김준표 월수금일 오후 7시 방송 화목토 휴방 김준표 마술사 스마트 스토어 https://smartstore.naver.com/rlawnsvy 마술 ...,808308589,1216,891000,마술 썰 이야기 모음 웃짤,https://yt3.ggpht.com/ytc/AIdro_n8mj9DB4CeFFtdE8Ebn6hX7MSaRPZtOvJUAzYbSjlFBXQ=s88-c-k-c0xffffffff-no-rj-mo,공연 예술 엔터테인먼트 (상위 주제)
UC_IKIoeQoqOxqlKqg7ccVew,요서비 Yoseobii,Instagram : Yoseob_iing Tiktok : @Yoseob_iing AICOMPANY@0AANX7.,97587979,87,234000,먹방 ASMR 한국 KOREA MUKBANG 먹방유튜버,https://yt3.ggpht.com/1OuD6V9no66rEGg55ffWVc3fpBZJpRSwpH5LLsi0vSdVKMkL5Wn6B5pvxzqH2Gs3v8kXSvcJeQ=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 음식
UC_kjGxlP5hcygXNm_WM1xiw,미지의세계 MIJI,향기 전문 채널.,13606226,333,86300,향수 바디미스트 바디로션 섬유향수 섬유유연제,https://yt3.ggpht.com/I_adU-paaPfWaVezQC9RRXTpkS08o4LskhNVucW54ualbidQHta3Ae2aIKTyiJ91ezfB86Lx6A=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제)
UC_m2j80fMjxmMRiNbuaryMA,NOngBoN x2,สวัสดีครับ ฝากติดตามในเพจเฟซบุ๊คด้วยนะครับ https://www.facebook.com/nongbonn/,20824427,1014,85200,nongbon nongbonx2 mith mithnongbon fifa4 fifaonline fifaonline4 ฟีฟ่า ฟีฟ่า4 ฟีฟ่าออนไลน์4 ฟุตบอล ลูกชิ้น,https://yt3.ggpht.com/ytc/AIdro_kM7xPLuaO4Ul2JLD9UgQTSadoayYaJN5CaIg2VSICfyHY=s88-c-k-c0xffffffff-no-rj-mo,스포츠 게임 게임 (상위 주제)
UC_RiUys4rBMkOn-kzyhg0hA,리얼스포츠,스포츠에 관한 모든것.,184997728,795,107000,스포츠 축구 EPL 손흥민 김민재,https://yt3.ggpht.com/q895P1wL09yyjjJeXMWvlitanKdB3ux-ualksxNtFkvuVQZeCXonyyPbA5QhpV7NhlLHzHTSCDY=s88-c-k-c0xffffffff-no-rj-mo,미식축구 스포츠 (상위 주제)
UC_RRZdJk55ShXE-9d3deRUA,유영진TV [Rushtube],안녕하세요. 스타 BJ 전 프로게이머 유영진입니다. 강의 및 게임영상&10찬6따리 와이프표 먹방영상&육아영상 ☆유영진 ...,6917760,487,15300,스타유영진 Rush Rush.유영진 Rush유영진 얌음 유하루 유영진 10찬6따리 스타 프로게이머 테란 스타강의 테란강의 스타리마스터 스타게이머,https://yt3.ggpht.com/rWLG53TZR0AwUUpMGaGrdCAmNnHR-DDGKhKBJifYYRVe9F3CbxNbkUXJV3LjRMqD5n6VtTT1nV8=s88-c-k-c0xffffffff-no-rj-mo,게임 (상위 주제) 전략 비디오 게임
UC_SgaM1zbb1Mibnsp6J0fJA,기묘한 밤,"기묘한 밤입니다. 미스터리, 공포, 괴담, 미제사건 등에 대해 다룹니다. 제보/문의 : kimyohanbam@gmail.com.",275313415,680,800000,기묘한밤 미스터리 미스테리 사건사고 기묘한 초고대문명 공포 괴담 기묘한 밤 미스터리 채널 미스테리 채널 기묘한 밤 미스터리채널 미스테리채널,https://yt3.ggpht.com/OJjZ1U-7yeiOKecACz15FyhhOrYS42drt4xpr12z4dF739tkZKb6nygE-KPymF9FTn4_Na7dcEY=s88-c-k-c0xffffffff-no-rj-mo,지식 엔터테인먼트 (상위 주제)
UC_SjNHotLGGBC2UnS8rKD1A,들어봤나율,사연제보는 [들어봤나율 공포라디오-https://naver.me/x3qXF0UF ] 네이버카페 or 메일 [kalin83@naver.com]으로 보내주세요 ^-^*,713105,129,16200,공포라디오 무서운이야기 실화괴담 귀신이야기 괴담 괴담썰 공포 공포썰 귀신썰 들어봤나율 공포채널 공포방송 납량특집 귀신 들어봤나율 성우가들려주는무서운이야기 공포ASMR 김나율성우 성우김나율 김나율 horror horrorstory creepystory storyteller korean,https://yt3.ggpht.com/j-jaB8bsuDU1hQB9NVGqZk68jyvzLqRiHWzHpXGT4uZB0sOda9XFDRv0XjngnZqDDyTyo2SulQ=s88-c-k-c0xffffffff-no-rj-mo,영화 엔터테인먼트 (상위 주제)
UC_t2hd58aqqf7ECCplJXS9w,제제Mellowzeze,"뽁뽁어멈이라고 하겠습니다 근데 이제 빵순이인데 다이어터를 곁들인, - mellowzeze@dmil.kr.",17105174,237,94600,다이어트,https://yt3.ggpht.com/ytc/AIdro_kcc-_yexNjltrw-Ux4-Na5P-ezG6a6yBrERj2Q7bdsPQ=s88-c-k-c0xffffffff-no-rj-mo,음식 건강 피트니스 라이프스타일 (상위 주제)
UC_tnGAhy3uj0tshK5Miyi2g,레리꼬 LET IT GO,괴뢰꼬 인스타:jayletitgo.,34216569,183,94600,여행유튜버 세계여행 남미여행 개그유튜버 튀르키예 그리스 유럽여행,https://yt3.ggpht.com/63tRk_5s6x84gbh6S3hPbbcn6wUWnlXjbWnqqNb534nLZOmixaaik6USozCFF8_aWfLjdD39-A=s88-c-k-c0xffffffff-no-rj-mo,Unknown 라이프스타일 (상위 주제)
UC_VOIxjBN_WIPKxpPs1omZQ,걸뽀girlbbo,좋아요와 구독은 큰 힘이됩니다 'ㅁ')/ ♥ 생방송도 놀러와 주세용 Afreecatv : http://bj.afreecatv.com/girlbbo Instagram ...,217741654,1033,425000,걸뽀 girlbbo 코코 레오 고양이 BJ 볼물리는,https://yt3.ggpht.com/cQKHNcjq4ydn-WVV-83r1gt-mWszCuh6SdqFx2mOACURjA_GGGhBfoIcS4FOOvacGHLYngOd=s88-c-k-c0xffffffff-no-rj-mo,액션 어드벤처 게임 롤플레잉 비디오 게임 액션 게임 게임 (상위 주제)
UC_XkLhG1aXGeeCy91uXVEBQ,알로하 aloha,색감 맛집에 오신 걸 환영합니다       Contact gmate94@naver.com Insta __alo.ha.,15465112,185,127000,,https://yt3.ggpht.com/zWpINtr3F_nhWzcgWaFRoXYLbXAVhKzd1eY6HS4d798-OhL8YviCn5Nr17aeFcsL6ecI62UIQg=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 패션
UC-0229MiVYnQoUxdLJnFl_g,꾸리 Kkuri,간단하고 맛있는 레시피를 업로드 하고 있어요    ‍   I would like to share simple and easy recipes! kkuri161616@gmail.com.,47771543,121,111000,Korean food 간단요리 Simple Recipe 1분요리,https://yt3.ggpht.com/kjys3ObuiWlmxJMAgPOXfi-0w6QHNvlTicm8b91fNst9rIdQO6xZObUUH7YwI8sXdDdX1DlhLw=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 음식
UC-3Fh1L6hOSV9ylvpr5g8_Q,숏플레이,비즈니스 문의 bob-hair@naver.com 안녕하세요 숏플레이 입니다. 많은 관심과 사랑 부탁드려요^^ #스케치코미디 #숏무비 #숏 ...,475176660,350,431000,스케치코미디 숏무비 숏박스 싱글벙글 180초 웃고리즘 하이픽션 쉬케치 킥서비스 상여자들 코믹숏무비 숏플레이 웃기시네 너덜트 낄낄상회 너튜브 웹드라마 SNL 끄적끄적 먹방 mukbang 재벌여친 재벌 여친 상여자들 현정 재벌 부자 띱 하이픽션 조폭여친,https://yt3.ggpht.com/DbXI1OFeMEYnfc3gs5lxX_Dov5vXEYj43wOVTcFxO-Hq-tfJURbtLST7HX4ASkhfROXnkjb8=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 영화 음식 엔터테인먼트 (상위 주제)
UC-75---6clEI74Ra6DZNYbw,유후의 피아노래,"유후의 피아노가리 ✉️ 비즈니스/출연 문의: uwho@treasurehunter.co.kr 라이브 스트리밍은 화, 금 빼고 매일 밤 9시에 유튜브, ...",499943176,1040,572000,,https://yt3.ggpht.com/6KPlACwFJoETic4mIz9fGpXFzalB98EOoyWjJZoDa91Zd6uF4zh81bmAiIoQ_L8c0hAL7erA=s88-c-k-c0xffffffff-no-rj-mo,게임 (상위 주제)
UC-AuoahqpeL4yoK4kvu___g,Rilseo릴서,,9869878,36,81100,일상 브이로그 대학생 학생브이로그 공부브이로그 룩북 일상브이로그 대학생브이로그,https://yt3.ggpht.com/aIjq13Ar4LO5P_l6o0v_Ju2dmYGKA2MyY3-nDJzsZsnpFowihaPyMqB1aTkoF_sn2ZQgWARe2w=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제)
UC-bkkeZRecfFlmgMB01lstg,또솔 DDO_SOL,링크 클릭하고 디어스로 놀러와   오늘의 급식.,539403889,266,427000,먹방 mukbang 급식 오늘의급식 또솔 틱톡 shorts,https://yt3.ggpht.com/8fo21J4Zg0MTW02tm_oQIpoqy-sVfIsfJ1rSV-5-zmKGflfbj0Igvwcc-V6HuaB3w51KbMoSRg=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 음식
UC-Bsa2ivAGWq7bsSPrPGFVA,입짧은햇님,,956228285,3491,1770000,먹방 입짧은햇님 줄서는식당 놀라운토요일,https://yt3.ggpht.com/ytc/AIdro_n8GWMXO3-vfaHAUr-apAL306G77SNhhqkU4R4xD6boUyk=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 음식
UC-IfewS80QpiZ1FApsmzvQw,텐 Ten,파인다이닝 & 오마카세 리뷰를 지향했으나 알고리즘에 의해 강제로 반 돈까스 유튜버가 된 레스토랑 리뷰 & 정보 채널. E-mail ...,24279778,79,166000,까칠한외식가 까칠한미식가 오마카세 한우오마카세 파인다이닝 스시오마카세 호텔뷔페 호텔맛집 강남맛집 서울맛집 부산맛집 제주도맛집 ten TEN 까칠한외식가 TEN 텐 탠 텐 ten 텐TEN 텐 TEN 텐ten 맛집 먹방 mukbang,https://yt3.ggpht.com/_NSDNhXJpPnGyBC8VAcGRFS3XfwFCpqIaqoRke7U8cgermw2Yshs19KG9J-3jlUNa8GE8LlwrQ=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 음식
UC-IYpdOqjkER7B6cnChwlhA,소녀의행성 Girlsplanet,Profile 첫째   소녀 | 여아 | 래브라도 리트리버 | 17.02.23 둘째   행성 | 여아 | 포메라니안 | 17.10.25 셋째   우주 | 여아 | 웰시코기 ...,496638208,809,1020000,소녀의행성 강아지 dog 대형견 중현경 소형견 반려견 강아지 반응 귀여운 강아지 cute dog 리트리버 포메라니안 웰시코기 밤하느리 puppy 강아지 브이로그 하울링 힐링영상 Retriever Pomeranian WelshCorgi cachorro Pomeranio レトリバー ポメラニアン ウェルシュ・コーギー 犬 собака ретривер вельш-корги Померанский cute dog dog reaction,https://yt3.ggpht.com/rSGi__I-NFUL2QDvEicPSXZDKt0Hfsxs2w5aNKuneegZQQhVWKVSJXg2y099CS9jUxPDqo0Q6g=s88-c-k-c0xffffffff-no-rj-mo,반려동물 라이프스타일 (상위 주제)
UC-J1TDoV4mQTQkCZRKmV3Xg,코스모쓰 패션한짠,"[ 코스모쓰와 함께하는 패션한짠 ] 키 : 179.1cm 상의 : 105 - 110 , L - XL 하의 : 32- 34 , L - XL 발사이즈 : 270 + a 스타일을 판매하는 ...",16087479,567,93500,아메카지 패션유튜버 코스모쓰 패션한짠 워크웨어 캐쥬얼,https://yt3.ggpht.com/ytc/AIdro_kXQZ1I0BOdYdcPq2ovvNVZPRvOdZpHivpeBH9odIoLdg=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제) 패션
UC-JEIp-IjHJJ8g3812Z7MUw,ON THE SPORTS 온더스포츠,인기/비인기 종목을 구분하지 않고 스포츠라면 누구나 즐길 수 있도록 컨텐츠를 만들고 함께하는 온라인 스포츠 채널입니다. 스포츠 ...,10432032,7006,13900,아이스하키 ICE HOCKEY 온더스포츠 ON THE SPORTS,https://yt3.ggpht.com/v_XIHUQ0B8mwAb-9PtOW73vSX8dq-CJ0r0N98Y-jud6oyFIq4yANXOfQg1xSwJK_ZuoArw3DKw0=s88-c-k-c0xffffffff-no-rj-mo,아이스 하키 스포츠 (상위 주제)
UC-Jp4WHCXhxvWQ5Ab4JibJQ,벙구,안녕하세요. 벙구입니다! 제 채널에 와주셔서 정말 감사합니다. 외국인분들에게 마술을 보여주고 리액션을 찍어서 올리는 게 주 컨텐츠 ...,611396954,690,517000,,https://yt3.ggpht.com/GwGfEYTe3yWGNnhw89dhxGTTzXvE9QHdQxn9pciETpqgRWtZ947BJgywACcAM-cEZ809mcD1=s88-c-k-c0xffffffff-no-rj-mo,영화 엔터테인먼트 (상위 주제)
UC-JZtfVAgIjmNfhapEV3zgg,차차튜브 Chacha Tube,Email  chadahye@gmail.com Insta cha.dahye.,2389612,33,24800,뷰티 브이로그 vlog 육아 메이크업 발색 리뷰 화장품리뷰 차다혜 아나운서,https://yt3.ggpht.com/ytc/AIdro_l4Y6-NQ1ZYkQnTA7CFXYYG9VI8u69u4WXMmF3Uer0UjzM=s88-c-k-c0xffffffff-no-rj-mo,음식 라이프스타일 (상위 주제)
UC-kML0CG86wg2u7BggA_rDw,댕은,vlog • study with me • lifestyle.,19425550,136,263000,vlog korean dailylife university 대학생브이로그 로스쿨브이로그 브이로그 일상브이로그,https://yt3.ggpht.com/tgJOesWFvAu0FRp6CGNiPbPMc7OmBntR0mHQ-MeZKT0p4nwdJsxP82oVynTom7WPnuvuPvz0ag=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제)
UC-mTngidALJqbjUcTyZMZ8Q,희재 HEEJAE,,45336412,174,278000,희재 레나,https://yt3.ggpht.com/WqNtwMZbyfIUJ_VH0ozUxu77x1hPAaDJK3f1Dxn-X434WNWJLBzSBFjsr8Silx33JsXU02qX=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제)
UC-NoF8L6ov3uFz-bpnIdTRw,헤헤tube,인스타 : HEHETARU 채널멤버쉽 가입 https://www.youtube.com/channel/UC-NoF8L6ov3uFz-bpnIdTRw/join.,151987120,434,142000,헬스 운동 다이어트 스테로이드 가슴운동 등운동 어깨운동 턱걸이 하체운동 이두운동 삼두우동 헬스장 운동추천 다이어트추천 루틴 운동루틴 다이어트팁,https://yt3.ggpht.com/ytc/AIdro_lcYF57JLsgfAKfG_H1ROCSItgl-xjJuSTGpDIoNM8ILGs=s88-c-k-c0xffffffff-no-rj-mo,피트니스 라이프스타일 (상위 주제) 건강
UC-OcDPFxfY9Hhdf5P9zq7-A,메타코미디클럽,"Metacomedy Originals *메타코미디클럽 홍대 OPEN, 서울특별시 마포구 와우산로 76-1 2층 네이버에서 '메타코미디클럽 홍대'를 ...",571194294,339,773000,메타코미디 코미디 스탠드업코미디 스탠드업 스탠드업 코미디 메타코미디클럽 코미디클럽 피식대학 숏박스 면상들 스낵타운 엄지렐라 장삐쭈 과나 빵송국 한사랑산악회 05학번 장기연애 피식 레전드 숏박스 레전드 스낵타운 레전드 메코클 웃참 웃참 레전드 스탠드업코미디 레전드 스탠드업코미디 한국 피식대학 레전드 05학번 레전드 장기연애 레전드 김원훈 김민수 조진세 이용주 정재형 강현석 곽범,https://yt3.ggpht.com/fTdpw7V2KdPaJVG0Kpm3D7v9-wW5CeUhc9KvaQWO5Z2fnHN7CQ8INDsyMvj5wo9QmdDWbbJ21Q=s88-c-k-c0xffffffff-no-rj-mo,영화 엔터테인먼트 (상위 주제)
UC-ONvyScSR2-Tn73-idZoKQ,SOHYEON 소현,ミ.,30933251,115,560000,뷰티 음악 뮤직 일상 연예인 메이크업 브이로그 소현 kbeauty kpop makeup beauty music cover vlog fashion 학생 유튜브 youtube 유튜버 뷰티유튜버 꿀팁 올리브영 세일 브이로그 vlog,https://yt3.ggpht.com/wDlq2SGnvRWnh5g7Lj6MIvLFTJTQjKuGDBBAetFwkkMEy9Gcd3ixlMYiESUm0BHUv-DqM37E_Q=s88-c-k-c0xffffffff-no-rj-mo,라이프스타일 (상위 주제)
UC-oyaiXwIMrvI3k7eIqZh-g,담비,담하! 비즈니스 문의 : 2000damvi@gmail.com.,20004491,264,84100,역도 한체대 담비 mz,https://yt3.ggpht.com/ytc/AIdro_l8oiueTIJfipysz1g_EkJhFOS0yQLAwZtpcmN0ksM6EHI=s88-c-k-c0xffffffff-no-rj-mo,피트니스 라이프스타일 (상위 주제)
